val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,label
99,100,99,99,99,99,100,99,99,100,99,98,98,98,95,96,98,95,97,93,97,92,91,90,92,91,87,91,88,86,bad
96,97,95,96,95,96,97,96,95,95,98,97,94,95,97,96,96,95,96,97,96,95,97,97,96,94,96,96,95,96,okay
97,97,98,99,96,96,97,96,95,96,94,95,96,94,97,92,93,94,92,95,94,93,93,93,94,96,97,99,98,98,warning
98,96,95,95,96,96,96,96,97,95,97,96,96,95,96,95,95,96,95,97,96,97,96,97,96,95,96,97,96,96,okay
98,98,97,98,97,100,98,98,98,97,98,95,98,96,93,92,92,91,90,88,91,86,87,86,88,85,83,82,90,99,bad
97,98,100,97,99,97,97,97,97,99,97,99,98,98,100,98,97,98,96,96,94,95,96,96,92,92,91,93,93,97,warning
96,95,94,96,93,94,94,91,91,89,93,98,97,97,97,98,98,96,98,96,97,96,97,98,99,96,97,98,95,97,warning
97,97,98,97,97,98,98,99,98,99,97,99,99,97,97,99,98,97,98,97,99,99,98,98,98,99,99,97,99,98,okay
97,98,98,96,97,96,97,96,97,97,98,98,97,97,97,95,95,94,91,90,94,92,87,91,87,88,87,91,98,98,bad
96,96,97,97,97,96,97,98,95,96,98,96,96,95,97,95,94,97,93,94,95,96,92,95,95,92,92,95,97,96,warning
96,97,96,96,94,95,95,96,97,96,95,97,93,93,94,92,91,88,90,90,90,88,86,87,86,84,87,83,89,97,bad
97,96,98,96,96,99,95,95,95,96,95,94,94,94,93,94,92,93,89,92,90,92,97,95,97,96,96,94,96,95,warning
97,97,95,97,96,99,98,96,96,100,97,97,97,98,97,97,98,96,97,97,96,96,96,96,97,97,96,97,97,97,okay
98,98,96,96,93,93,93,92,94,91,92,90,94,98,97,96,97,100,97,99,97,97,98,98,98,100,99,99,97,97,warning
100,98,100,100,99,98,99,98,96,98,100,99,99,99,100,100,98,98,98,100,98,99,98,99,97,97,98,100,100,100,okay
97,97,97,96,97,95,97,97,99,97,96,99,98,98,97,96,96,95,97,97,97,97,96,98,99,97,96,98,96,96,okay
95,95,97,96,96,96,97,94,97,95,96,96,98,96,97,98,96,95,96,95,96,95,96,97,95,95,94,96,97,94,okay
97,97,98,94,97,96,97,91,93,96,94,97,91,95,93,95,98,99,98,98,100,98,100,98,98,98,98,98,97,99,warning
99,98,98,96,97,96,93,92,92,86,87,87,91,97,97,98,96,97,98,96,95,96,96,98,97,97,97,97,97,97,bad
95,99,98,95,98,97,96,96,97,99,97,97,96,95,97,96,97,97,97,98,97,98,95,96,98,97,95,97,96,97,okay
97,96,95,96,94,97,96,97,96,96,94,96,94,93,97,90,92,90,92,93,96,96,95,96,97,97,95,98,96,94,warning
96,96,97,97,95,98,97,97,97,96,97,97,97,96,97,97,96,98,98,96,97,97,96,97,97,97,96,96,97,96,okay
97,97,96,97,95,97,98,98,96,97,97,97,97,97,97,96,97,98,97,98,96,97,97,98,98,95,97,96,97,97,okay
98,96,96,95,96,99,97,96,97,98,98,96,96,97,96,96,95,96,96,95,96,96,97,96,97,98,97,97,98,99,okay
94,95,94,95,95,93,94,94,94,97,92,95,96,94,94,91,90,93,93,94,97,99,97,95,97,96,97,98,96,97,warning
95,96,96,96,95,95,95,94,95,93,93,94,94,94,92,93,93,95,94,94,94,92,93,93,97,95,95,95,98,95,warning
97,96,97,96,97,98,96,95,95,97,97,96,98,97,94,95,95,91,94,89,89,89,87,90,84,81,90,97,96,98,bad
98,98,95,97,96,95,95,97,96,95,97,93,94,90,91,92,90,87,87,91,88,87,86,86,85,91,97,97,98,99,bad
98,96,97,96,98,95,97,95,98,99,97,96,95,97,96,97,97,96,97,98,97,98,97,97,99,98,98,97,96,97,okay
96,97,100,100,99,98,99,99,97,100,98,97,97,99,99,97,98,96,97,98,99,97,98,98,97,98,97,99,99,99,okay
98,97,97,97,97,97,98,96,96,98,98,97,99,97,99,99,99,98,97,98,99,98,97,97,100,98,98,98,97,98,okay
95,99,97,97,97,96,98,97,97,99,95,98,97,97,97,99,98,98,98,96,96,98,97,97,95,96,99,99,96,98,okay
97,98,98,97,98,98,98,100,96,95,96,95,96,96,96,96,95,95,98,97,99,98,97,97,97,98,98,97,98,98,warning
96,97,97,97,98,98,96,95,95,98,97,94,98,97,97,97,96,96,97,94,98,97,98,91,95,98,98,97,97,96,okay
95,96,97,96,95,94,93,96,91,90,91,90,88,88,89,88,89,95,97,95,95,94,96,96,96,96,98,98,99,96,bad
98,99,98,98,97,98,97,97,99,98,97,95,93,99,92,91,89,88,87,86,85,91,100,98,98,98,98,96,99,98,bad
96,96,94,96,96,99,96,93,95,96,97,96,96,96,97,96,96,96,94,96,96,97,95,95,94,94,96,97,96,96,warning
94,96,97,97,97,97,98,96,97,96,97,98,97,98,98,99,95,97,99,97,96,100,96,97,96,96,95,97,97,98,okay
